Source,Target,Weight
25,26,1151
27,25,537
28,25,93
29,25,83
31,25,71
26,26,224
27,26,353
28,26,65
29,26,51
31,26,22
28,27,59
29,27,12
31,27,20
28,29,11
28,31,26
31,29,2
113,25,282
215,25,99
552,25,83
27,27,14
25,25,572
31,113,18
336,113,95
31,336,8
336,25,98
133,25,229
837,25,120
932,25,489
837,932,11
1047,25,78
1047,932,14
28,1084,4
28,933,5
1084,25,257
933,25,96
1084,27,70
933,1084,3
933,27,12
932,113,10
1199,25,85
1048,25,71
1199,932,12
1199,1048,5
932,1048,53
916,25,95
1199,916,1
932,916,14
1048,916,1
113,1385,22
1385,25,35
1404,1403,68
1403,27,12
1403,25,118
1404,27,99
1404,25,333
1084,1403,1
1084,1404,5
408,25,85
26,1455,88
25,1455,28
1496,25,72
1404,26,131
837,26,25
1775,25,98
1084,1775,8
837,1775,7
1775,408,2
837,1084,5
1084,408,10
837,408,3
1744,26,4
932,26,82
932,1744,12
1744,25,59
408,1744,10
932,27,36
552,27,3
932,552,23
29,932,13
29,552,8
1744,133,4
408,133,84
916,1744,1
916,133,6
408,916,2
215,1744,10
26,2150,68
26,2173,45
2150,2173,511
2150,1455,359
1455,2173,190
408,27,11
28,28,3
28,113,14
28,336,7
113,26,63
336,26,23
1199,336,2
28,1199,5
1199,31,1
1199,113,1
1199,26,23
31,1084,2
31,31,2
113,133,20
113,408,4
1084,1048,4
27,1048,8
28,932,11
28,1048,5
916,26,36
932,1775,41
29,1775,7
1775,26,28
27,1455,8
1047,1775,13
1047,27,11
1775,27,3
932,932,2
932,215,36
1047,26,22
1047,28,2
2059,25,129
1084,113,15
29,113,13
113,27,25
27,916,27
27,133,31
1084,26,104
133,26,36
1084,916,8
1084,133,3
113,916,7
31,552,4
113,552,33
336,552,30
933,26,29
933,113,11
215,26,32
1047,916,4
215,27,8
1385,26,7
933,133,13
933,408,1
27,2059,29
1084,2059,12
2059,26,19
1199,133,30
1199,408,8
133,133,4
27,1385,1
2059,133,4
29,336,4
1084,336,9
1084,552,3
552,26,6
1084,29,8
837,933,7
837,113,11
933,552,4
113,2059,4
336,2059,5
2059,1385,2
336,1385,3
336,133,4
336,408,1
837,133,8
932,2059,8
552,2059,2
1404,215,9
215,1403,18
29,916,24
29,1496,7
1496,26,11
1403,1744,4
1404,1744,8
29,1404,20
215,2059,5
1047,837,14
1404,133,8
933,932,8
1404,932,17
837,1404,9
336,932,3
1775,1048,4
1199,1455,2
31,2059,11
336,27,5
113,215,12
837,552,2
837,336,3
1403,2059,2
1199,1404,7
1199,1403,8
1403,133,7
1199,215,4
1403,26,24
29,1403,23
1775,1403,5
1775,1744,2
1403,1496,15
1775,1496,1
1404,1496,53
1199,29,8
27,1496,7
27,1744,2
1496,1744,9
31,1496,2
1199,2150,2
1199,1084,4
1084,2150,2
1404,916,22
1496,916,15
1404,408,3
408,1496,1
1496,133,2
408,408,2
408,26,13
1385,133,7
932,408,2
837,837,2
1048,26,11
1084,932,20
1084,215,9
29,215,8
932,1496,6
1496,1048,4
28,215,2
837,27,6
1048,133,2
837,1048,6
932,133,5
837,1403,2
1403,408,2
215,1048,5
552,1496,2
552,1048,2
1047,1084,3
25,2150,4
408,2059,2
336,916,3
113,1775,4
1775,1385,4
916,2150,2
1775,916,7
1775,2150,2
1385,916,1
1385,2150,1
408,1385,1
215,916,10
28,916,3
28,2059,4
28,1775,2
1775,133,1
28,133,1
837,2059,2
215,552,1
2059,1455,2
552,916,2
552,133,1
916,1455,6
29,1455,6
1199,27,2
1199,933,1
1404,1404,2
837,1744,3
1048,1744,2
1199,552,1
933,1496,1
1404,1048,2
1047,1404,3
2059,2059,1
2059,1048,3
31,932,2
31,916,2
1403,552,2
932,1403,3
1047,2059,1
933,1744,2
1084,1744,3
215,133,2
215,408,2
1404,1775,2
1404,2059,1
