Source,Target,Weight
2,1,1655
3,1,3347
4,1,359
7,1,100
2,3,1717
2,4,147
2,7,38
4,3,961
7,3,288
7,4,44
13,3,321
14,13,25
14,3,281
13,16,88
3,16,3538
14,16,136
25,26,1151
27,25,537
28,25,93
29,25,83
31,25,71
26,26,224
27,26,353
28,26,65
29,26,51
31,26,22
28,27,59
29,27,12
31,27,20
28,29,11
28,31,26
31,29,2
46,1,1504
46,2,812
46,3,3831
55,56,36
55,58,56
55,63,6
55,67,7
55,68,13
58,56,86
56,63,6
56,67,17
56,68,11
58,63,17
58,67,29
58,68,29
67,63,165
68,63,63
67,68,165
76,4,37
76,81,49
46,76,62
76,85,51
76,25,57
4,81,190
46,4,467
85,4,335
25,4,313
46,81,609
85,81,222
25,81,178
46,85,731
46,25,579
85,25,851
95,3,340
99,58,113
100,99,148
101,99,101
99,104,84
99,106,99
107,99,105
99,109,88
99,13,10
99,3,109
99,14,8
100,58,169
101,58,119
58,104,92
106,58,105
107,58,106
58,109,99
58,13,20
58,3,233
58,14,23
101,100,148
100,104,112
100,106,120
107,100,107
100,109,132
100,13,14
100,3,182
100,14,20
101,104,78
101,106,87
101,107,97
101,109,123
101,13,12
101,3,113
101,14,10
106,104,82
107,104,93
109,104,64
104,13,6
104,3,88
104,14,12
107,106,104
106,109,79
106,13,8
106,3,91
106,14,8
107,109,80
107,13,8
107,3,89
107,14,10
109,13,6
109,3,71
109,14,8
99,16,42
58,16,105
100,16,72
101,16,42
104,16,33
106,16,32
107,16,34
109,16,34
112,25,1278
112,113,43
113,25,282
120,1,216
85,1,435
2,120,99
2,85,190
120,3,334
85,3,1666
85,120,116
124,126,4
124,127,11
124,16,39
124,3,98
124,128,36
124,133,17
124,134,13
137,124,21
127,126,43
126,16,85
126,3,161
126,128,17
133,126,12
126,134,74
137,126,6
127,16,251
127,3,637
127,128,30
133,127,10
127,134,69
137,127,10
16,128,176
133,16,10
16,134,298
137,16,34
3,128,440
133,3,54
3,134,836
137,3,127
133,128,51
128,134,81
137,128,29
133,134,31
137,133,23
137,134,16
126,154,28
156,126,14
3,154,1235
156,154,15
156,3,117
156,157,16
126,157,20
157,154,53
3,157,399
159,1,151
159,3,325
159,166,17
159,68,62
166,1,40
68,1,280
166,3,191
68,3,677
68,166,30
172,171,45
171,178,49
172,178,6
26,178,30
171,26,77
172,26,19
25,63,157
31,63,2
27,63,24
3,194,202
25,209,176
215,25,99
215,209,8
222,3,881
222,1,360
46,222,691
222,81,77
222,226,35
41,222,40
222,4,287
3,81,506
3,226,348
41,3,817
81,1,202
226,1,162
41,1,143
46,226,261
46,41,281
46,46,1668
226,81,60
41,81,95
81,81,62
41,226,31
4,226,73
41,4,120
46,159,154
159,222,45
159,81,30
159,226,41
159,41,30
159,4,63
233,1,87
242,233,6
2,233,63
3,233,306
159,233,8
242,1,629
2,242,350
242,3,415
159,242,16
159,2,36
245,233,13
245,1,134
245,242,21
245,2,76
245,3,323
245,159,26
247,1,111
247,3,319
251,25,223
251,251,47
67,251,162
251,68,65
134,1,221
284,1,68
287,1,77
284,3,280
