Source,Target,Weight
2,1,1655
3,1,3347
4,1,359
7,1,100
2,3,1717
2,4,147
2,7,38
4,3,961
7,3,288
7,4,44
13,3,321
14,13,25
14,3,281
13,16,88
3,16,3538
14,16,136
46,1,1504
46,2,812
46,3,3831
67,63,165
68,63,63
67,68,165
76,4,37
76,81,49
46,76,62
76,85,51
4,81,190
46,4,467
85,4,335
46,81,609
85,81,222
46,85,731
95,3,340
120,1,216
85,1,435
2,120,99
2,85,190
120,3,334
85,3,1666
85,120,116
127,126,43
126,16,85
126,3,161
126,128,17
126,134,74
127,16,251
127,3,637
127,128,30
127,134,69
16,128,176
16,134,298
3,128,440
3,134,836
128,134,81
126,154,28
156,126,14
3,154,1235
156,154,15
156,3,117
156,157,16
126,157,20
157,154,53
3,157,399
159,1,151
159,3,325
159,166,17
159,68,62
166,1,40
68,1,280
166,3,191
68,3,677
68,166,30
172,171,45
171,178,49
172,178,6
3,194,202
222,3,881
222,1,360
46,222,691
222,81,77
222,226,35
41,222,40
222,4,287
3,81,506
3,226,348
41,3,817
81,1,202
226,1,162
41,1,143
46,226,261
46,41,281
46,46,1668
226,81,60
41,81,95
81,81,62
41,226,31
4,226,73
41,4,120
46,159,154
159,222,45
159,81,30
159,226,41
159,41,30
159,4,63
233,1,87
242,233,6
2,233,63
3,233,306
159,233,8
242,1,629
2,242,350
242,3,415
159,242,16
159,2,36
245,233,13
245,1,134
245,242,21
245,2,76
245,3,323
245,159,26
247,1,111
247,3,319
251,251,47
67,251,162
251,68,65
134,1,221
284,1,68
287,1,77
284,3,280
287,3,279
159,134,32
284,134,33
85,134,345
287,134,37
159,284,18
159,85,70
159,287,9
284,85,75
284,287,6
85,287,100
112,296,315
112,166,66
296,166,36
123,1,192
3,123,430
233,123,12
159,328,11
41,328,8
67,67,212
67,344,77
344,63,35
85,85,330
85,361,80
361,1,75
361,3,235
2,123,73
46,123,270
387,3,428
391,3,159
85,387,168
387,391,28
387,81,31
85,391,76
391,81,15
2,81,57
7,81,38
7,7,25
16,1,272
2,16,196
4,16,277
7,16,91
16,81,126
296,3,1620
296,134,302
296,233,98
178,422,43
424,422,15
67,422,107
422,128,41
296,422,134
422,134,51
178,424,8
67,178,130
178,128,36
296,178,102
178,134,56
67,424,72
424,128,33
296,424,85
424,134,61
67,128,152
67,296,240
67,134,153
296,128,438
3,371,203
46,371,88
438,371,7
328,371,24
440,371,10
3,438,311
328,3,278
440,3,360
46,438,839
46,328,205
46,440,179
328,438,250
440,438,11
440,328,19
126,371,12
16,371,36
188,319,13
319,344,18
319,3,189
67,319,32
188,344,46
188,3,223
67,188,44
344,3,539
344,344,28
67,3,1078
178,319,13
188,178,13
178,344,32
178,3,426
112,3,1081
3,3,1298
319,4,25
126,319,10
112,319,45
126,4,34
112,4,109
112,126,76
494,496,10
368,16,156
368,3,478
2,209,21
344,16,210
522,16,28
522,3,184
522,344,180
440,222,70
387,16,227
543,157,28
95,157,29
157,544,28
68,157,40
95,543,100
543,3,255
543,544,8
68,543,35
95,544,6
95,68,40
3,544,662
68,544,51
159,157,32
159,543,13
