Source,Target,Weight
55,56,36
55,58,56
58,56,86
99,58,113
100,99,148
101,99,101
99,104,84
99,106,99
107,99,105
99,109,88
100,58,169
101,58,119
58,104,92
106,58,105
107,58,106
58,109,99
101,100,148
100,104,112
100,106,120
107,100,107
100,109,132
101,104,78
101,106,87
101,107,97
101,109,123
106,104,82
107,104,93
109,104,64
107,106,104
106,109,79
107,109,80
137,124,21
430,642,179
836,100,11
836,137,17
137,137,8
836,642,36
348,1174,3
1266,137,22
836,1266,14
1266,465,11
1229,1266,7
137,465,7
1229,137,4
836,465,26
836,1229,30
1229,465,21
642,106,18
430,106,80
1477,106,16
1478,106,12
642,58,71
1477,642,30
642,1478,50
642,109,14
100,642,65
430,58,256
1477,430,78
430,1478,53
430,109,53
100,430,126
1477,58,74
1478,58,58
1477,1478,24
1477,109,6
1477,100,37
1478,109,4
100,1478,16
465,104,2
100,465,6
348,1012,5
1229,55,8
1229,430,12
430,55,61
107,1477,12
100,56,44
465,56,2
100,1441,68
430,1441,59
642,1441,33
1477,1441,19
836,58,5
101,1441,37
99,1441,78
107,1441,50
1441,109,33
1441,104,44
430,1266,4
1266,124,17
430,124,5
58,58,11
836,1073,7
836,55,2
55,1073,4
836,1478,20
58,1441,64
1441,56,8
56,104,10
1073,58,1
3116,99,33
106,1441,36
430,99,56
107,430,62
1478,99,6
1478,1441,24
107,1478,4
430,56,72
642,55,23
1229,1012,13
1477,99,14
836,3116,9
100,55,12
348,104,9
100,348,11
101,430,67
1073,1073,1
430,104,40
836,1477,6
55,1012,75
642,104,25
642,1174,12
430,1174,2
1174,58,2
465,1174,6
836,1174,12
1229,1174,7
642,465,19
1229,642,25
430,465,20
836,430,14
465,58,4
1229,58,5
100,1073,11
1073,56,6
100,100,5
101,56,15
99,56,4
56,109,11
642,1073,6
1174,56,2
1478,104,9
1478,56,19
137,1174,5
1012,56,7
642,1012,6
836,124,20
836,1012,14
642,99,13
107,642,12
101,642,14
1477,55,20
1478,55,13
1477,56,26
642,56,26
836,836,2
430,430,15
3116,3116,6
642,3116,4
430,3116,18
3116,58,25
1229,1073,6
107,56,6
430,348,5
348,58,8
348,1478,2
101,348,2
348,1441,2
348,99,2
101,1478,11
124,1012,21
1477,465,8
58,1012,18
100,137,5
107,55,2
55,1441,2
55,104,4
836,104,2
642,137,6
1478,1174,2
1478,137,3
642,642,6
642,1266,11
1266,1174,2
1266,1441,3
100,3116,19
101,3116,13
3116,109,9
3116,106,16
107,3116,17
3116,104,8
836,99,134
101,1477,7
101,55,5
101,101,1
348,55,4
348,56,4
1477,104,4
642,124,6
124,124,14
1477,1012,2
100,1012,4
642,348,2
430,1012,12
101,1012,3
430,1073,13
3116,1441,4
56,56,2
348,137,2
3116,56,3
3116,1012,2
1012,104,4
107,1012,4
1012,1441,4
99,1012,4
1229,124,4
1478,124,2
1073,124,4
465,124,4
1229,1478,2
1478,1012,6
1073,1012,2
465,1012,5
1478,1073,3
1478,465,4
465,1073,4
99,99,4
3116,137,5
1478,1478,2
1266,1073,2
1012,1012,2
1441,1441,4
1477,1073,2
836,56,3
836,348,3
1174,1012,2
124,1174,4
1073,1174,3
55,55,2
55,465,2
1477,3116,2
1478,3116,3
1229,56,2
106,56,3
124,58,2
1266,58,2
