Id,Label,Kind,Weight
25,#reformedesretraites,hashtag,4089
26,#retraite,hashtag,1064
27,#macron,hashtag,383
28,#borne,hashtag,66
29,#greve,hashtag,71
31,#dussopt,hashtag,52
113,#greve7fevrier,hashtag,231
133,#nupe,hashtag,182
215,#grevegeneral,hashtag,89
336,#greve11fevrier,hashtag,68
408,#lfi,hashtag,82
552,#grevegeneraleillimitee,hashtag,66
837,#64anscestnon,hashtag,94
916,#manifestation,hashtag,72
932,#greve31janvier,hashtag,400
933,#directan,hashtag,149
1047,#31janvier,hashtag,61
1048,#manif31janvier,hashtag,67
1084,#france,hashtag,131
1199,#cgt,hashtag,69
1385,#manif7fevrier,hashtag,53
1403,#grevegenerale19janvier,hashtag,104
1404,#greve19janvier,hashtag,283
1455,#travail,hashtag,200
1496,#manif19janvier,hashtag,85
1744,#marche21janvier,hashtag,55
1775,#grevegenerale,hashtag,73
2059,#macronie,hashtag,64
2150,#réform,hashtag,191
2173,#viechère,hashtag,171
