Id,Label,Kind,Weight
1,âge,mot,1586
2,départ,mot,716
3,retraite,mot,5013
4,pouvoir,mot,669
7,jeune,mot,179
13,mettre,mot,213
14,député,mot,293
16,réforme,mot,1614
41,français,mot,689
46,an,mot,2191
63,voir,mot,350
67,aller,mot,834
68,falloir,mot,484
76,demander,mot,206
81,travailler,mot,385
85,faire,mot,1334
95,age,mot,160
112,contre,mot,1032
120,pays,mot,258
123,vie,mot,280
126,peuple,mot,188
127,non,mot,529
128,voter,mot,396
134,vouloir,mot,612
154,réform,mot,521
156,million,mot,245
157,rien,mot,316
159,bon,mot,276
166,monde,mot,200
171,devoir,mot,440
172,commencer,mot,157
178,passer,mot,333
188,ministre,mot,174
194,rue,mot,201
209,manifestation,mot,176
222,partir,mot,424
226,travail,mot,294
233,social,mot,289
242,légal,mot,197
245,année,mot,200
247,oui,mot,229
251,bien,mot,449
258,janvier,mot,189
284,droit,mot,173
287,payer,mot,198
296,macron,mot,1063
319,politique,mot,192
328,plein,mot,152
344,projet,mot,363
361,petit,mot,152
368,france,mot,384
371,temps,mot,158
387,gouvernement,mot,399
391,jour,mot,164
422,taire,mot,276
424,savoir,mot,220
438,taux,mot,231
440,femme,mot,237
494,mobilisation,mot,208
496,venir,mot,158
522,loi,mot,158
543,l,mot,160
544,système,mot,294
579,jamais,mot,158
595,augmenter,mot,170
707,grand,mot,155
723,cotisation,mot,238
733,injuste,mot,214
734,pension,mot,206
827,prendre,mot,346
874,pourcent,mot,685
900,président,mot,154
902,riche,mot,227
908,mois,mot,163
914,point,mot,162
966,grève,mot,255
1029,régime,mot,212
1096,retraité,mot,181
1516,effort,mot,178
2110,financier,mot,153
2751,taxer,mot,170
