Id,Label,Kind,Weight
55,@gouvernementfr,personne,80
56,@renaissance,personne,88
58,@olivierdussopt,personne,215
99,@maudbregeon,personne,117
100,@deputesre,personne,178
101,@auroreberge,personne,93
104,@vspillebout,personne,66
106,@midy_paul,personne,61
107,@benjaminhaddad,personne,64
109,@sylvainmaillard,personne,67
124,@mathildepanot,personne,83
137,@jlmelenchon,personne,103
348,@franceinfo,personne,117
430,@elisabeth_borne,personne,350
465,@lci,personne,68
642,@emmanuelmacron,personne,246
836,@bfmtv,personne,411
1012,@olivierveran,personne,136
1073,@lesrepublicain,personne,54
1174,@mlp_officiel,personne,64
1229,@cnews,personne,141
1266,@franceinsoumise,personne,53
1441,@priscathevenot,personne,75
1477,@brunolemaire,personne,73
1478,@gabrielattal,personne,80
3116,@gdarmanin,personne,58
