Id,Label,Kind,Weight
0,@cpitelet,personne,1
1,@JulieMaury1,personne,1
2,@lamiaela,personne,1
3,@IanBoucard,personne,1
4,@CORDIERPierre08,personne,1
5,@BrunoRetailleau,personne,1
6,@agindre.,personne,2
7,@asfrigout,personne,1
8,@MathildePanot.,personne,1
9,@phlottiaux,personne,1
10,@ericalauzet,personne,1
11,@NicolasSansu,personne,1
12,@dupontaignan,personne,1
13,@faureolivier,personne,1
14,@TurquoisNicolas,personne,2
15,@CNEWS,personne,1
16,@MLepvraud,personne,1
17,@sandraregol,personne,1
18,@FraPiquemal.,personne,1
19,@ellensalvi,personne,1
20,@olivierveran,personne,4
21,@chez_pol,personne,1
22,@GabrielAttal,personne,1
23,@BertrandPancher,personne,1
24,@Europe1,personne,1
25,@AliceDesbiolles,personne,1
26,@Moetai1,personne,1
27,@olivierveran.,personne,1
28,@MGElsa,personne,1
29,@MaudBregeon,personne,1
30,@JSellier,personne,1
31,@BFMTV.,personne,1
32,@verif_TF1LCI,personne,1
33,@Francois_Ruffin,personne,2
34,@Thomas_Mng,personne,3
35,@sebastienjumel,personne,1
36,@BrunoLeMaire,personne,2
37,@agindre,personne,2
38,@Abbe_Pierre,personne,1
39,@FabienDiFilippo,personne,1
40,@Cyrielle_Chtl,personne,1
41,@btreguier,personne,1
42,@VeroPousty,personne,1
43,@jlucchini95,personne,1
44,@libe,personne,1
45,@fredvalletoux,personne,1
46,@Libe,personne,1
47,@Reusmuriel1,personne,1
48,@AN_DroitsFemmes,personne,1
49,@sebastienjumel.,personne,1
50,@MichelOnfrayTv,personne,1
51,@StephaneSimon_1,personne,1
52,@Guaino_Henri,personne,1
53,@nicolaspoincare,personne,1
54,@FabRandria,personne,1
55,@CyprienCini,personne,1
56,@TrouveAurelie,personne,1
57,@SoizicBonvarlet,personne,1
58,@maxenceka,personne,1
59,@MGelsa,personne,1
60,@stephdepierre,personne,1
61,@boucherbrigit),personne,1
62,@celinecalvez.,personne,1
63,@MauvieuxKevin.,personne,2
64,@Clem_Autain,personne,2
65,@NUPES_2022_,personne,1
66,@LAVOIXLYCEENNE_,personne,2
67,@VerzelettiCeli1,personne,1
68,@olivierdussopt.,personne,4
69,@olivierdussopt,personne,1
70,@PaulineLecouve,personne,1
71,@PierreKupferman,personne,1
72,@MatthiasTavel,personne,1
73,@leboucher_elise,personne,1
74,@FranceInsoumise-@NUPES_2022_,personne,2
75,@FredRiviereRFI,personne,2
76,@Fabien_Roussel,personne,1
77,@dcarlach,personne,1
78,@Medef,personne,1
79,@amandine_begot,personne,1
80,@AuPoste1,personne,2
81,@PiquetDeStream,personne,2
82,@CaisseSoliAsso,personne,1
83,@ruthelkrief,personne,1
84,@ArthurDelaporte.,personne,1
19976004,@Mediapart,personne,305
951480480,@gouvernementFR,personne,116
4813171035,@Renaissance,personne,31
87886754,@ECiotti,personne,26
2370188558,@MathildePanot,personne,16
80820758,@JLMelenchon,personne,266
369914677,@jmaphatie,personne,53
133663801,@BFMTV,personne,386
34867057,@franceinter,personne,182
112754792,@Valeurs,personne,39
38395124,@franceinfo,personne,229
15823722,@MarianneleMag,personne,51
560628457,@Elisabeth_Borne,personne,25
26110930,@LCI,personne,57
36383320,@franceculture,personne,91
213754264,@faureolivier,personne,12
398000696,@Conseil_Etat,personne,22
1049358357969158144,@Bartotty,personne,11
38142665,@le_Parisien,personne,322
1976143068,@EmmanuelMacron,personne,917
18814998,@fhollande,personne,233
472412809,@f_philippot,personne,35
801822323825410049,@Francois_Ruffin,personne,37
29707536,@quatremer,personne,18
35287180,@morandiniblog,personne,69
371381075,@sandrousseau,personne,11
34570323,@Europe1,personne,163
2279012240,@SoMabrouk,personne,16
78085410,@RNational_off,personne,32
194173066,@ZohraBitan,personne,12
971820228,@CerfiaFR,personne,45
832766641,@TPMP,personne,385
600345740,@olivierveran,personne,43
250323361,@mbompard,personne,11
95455794,@lesRepublicains,personne,33
346557191,@EugenieBastie,personne,13
10228272,@YouTube,personne,7852
17211968,@bayrou,personne,68
4897361049,@FranceInsoumise,personne,19
78957336,@france_soir,personne,17
217749896,@MLP_officiel,personne,290
15658101,@SudRadio,personne,14
18396319,@CNEWS,personne,229
113462371,@anticor_org,personne,10
2850651695,@ManonAubryFr,personne,12
242694507,@AssembleeNat,personne,45
491343921,@Clem_Autain,personne,20
266215308,@alexiscorbiere,personne,16
68440549,@libe,personne,350
391919054,@CBeaune,personne,11
38170599,@dupontaignan,personne,38
